challenge_id,target_parsed_to_tcp_sent_ns
824,2504292
826,6699750
827,2311708
828,9720834
829,2508125
830,4898000
830,4945500
831,4677666
832,95584
833,8955583
834,94084
835,2774000
837,3987500
838,5625292
840,10323250
842,5343833
845,2294542
847,6707416
848,55541
849,5093792
850,5579000
852,8690042
853,43625
854,5220041
855,4495958
855,4546208
856,2420375
857,2984792
858,4064833
860,2386625
861,6070792
862,2323708
863,5199000
864,3975791
866,10131875
868,4378416
870,1890167
870,1941000
871,6416667
871,6506875
872,3042042
873,2482333
874,4738125
875,5799666
876,38125
878,3935667
881,2225209
881,2232542
882,4865000
883,4164708
884,2535542
886,5086167
888,6517125
888,6520000
890,4318041
892,2264709
894,2408333
895,7474958
895,7503083
897,4223541
900,5384666
902,9811750
903,2516792
905,4324625
907,18747459
908,6236792
909,3120750
910,5632042
911,4740792
912,3546958
912,3586041
913,2338584
914,5381000
916,2225750
918,2559209
919,5254708
921,3424959
921,3473667
923,4180667
924,2262750
925,10134333
926,2516750
928,4016667
930,3224000
932,4669750
934,4084042
936,2502917
937,9707041
939,4871209
940,4362375
942,3463542
944,3438458
946,2503334
947,9491541
949,8753875
949,9291625
950,11784417
951,1752792
953,4871166
954,4613459
956,2558375
957,3453834
958,4475709
959,2692250
960,3037333
963,5502166
965,9537292
967,4808833
968,4282292
970,2322166
972,4250834
973,4429416
975,4343042
975,4357208
977,2556583
978,3329333
979,3814500
981,2214958
983,2384709
985,3967084
987,3188084
988,2780500
990,3666000
991,4633500
993,11275792
995,15679834
996,6883042
997,8876875
999,4224917
1001,4400500
1002,3317333
1003,2523167
1004,4039417
1006,3632459
1007,6065250
1008,2674000
1010,2417125
1012,5269417
1015,6300584
1017,49250
1018,2430291
1019,4502708
1021,4359209
1022,3724083
1024,10479708
1026,4386000
1027,2121583
1029,5180000
1031,9901750
1032,2549333
1033,9462708
1034,14940500
1035,2859125
1036,3342500
1037,4116959
1039,1605959
1040,9744583
1041,117333
1043,3311000
1044,3139458
1045,3727792
1047,3546583
1049,2427542
1051,2372959
1052,5208541
1053,4167292
1055,2976750
1057,2115875
1058,4836875
1058,4877250
1059,5220834
1060,2721625
1062,2368708
1063,4674042
1063,4687417
1064,4361666
1065,88791
1066,4063250
1067,4200500
1068,6267542
1070,8856750
1071,1271875
1072,4052333
1073,7039375
1073,7085541
1074,33617042
1075,8813750
1076,4042666
1078,3806458
1080,3242208
1081,3895291
1083,3513209
1083,3596542
1086,10331041
1087,2459833
1089,2356375
1091,4515250
1093,10018333
1096,4213209
1097,2437416
1099,2449416
1101,5117125
1103,9767125
1103,9796500
1105,4768041
1106,4834084
1108,4195292
1109,4612667
1110,20773541
1111,3318750
1112,4938417
1112,4987625
1114,4373625
1115,91208
1116,2964542
1117,2981583
1119,4902125
1121,9970667
1123,4988166
1125,4663500
1126,2973625
1126,2986166
1128,3842041
1129,2098375
1131,5873167
1133,74916
1134,2558000
1135,5115958
1135,5155333
1136,4175625
1136,4176500
1137,2354167
1139,2431292
1140,3704625
1143,28290875
1145,13062042
1146,306250
1146,315333
1148,4859084
1151,4801833
1152,2858750
1153,2516667
1155,4637833
1156,2506125
1158,4729500
1159,4804459
1160,2493958
1161,4917459
1163,3651542
1165,3672625
1167,2418333
1169,4758875
1170,2583000
1172,4670584
1173,2704666
1175,1680333
1176,8405291
1178,2884792
1180,2424583
1181,8909625
1183,4855083
1184,4766250
1185,20983000
1185,20992666
1186,3508208
1187,9449291
1188,2618667
1189,3585167
1191,3951125
1192,2983791
1193,3050542
1195,4079125
1196,2366917
1198,93583
1199,2620542
1200,9049333
1200,9084625
1201,2261000
1203,3703666
1204,2243750
1207,2463666
1209,2385834
1211,4454584
1212,2394292
1213,4496166
1214,4784875
1216,3720875
1218,5218250
1219,17894625
1219,17913208
1220,1302875
1221,6788041
1222,4134209
1224,2848750
1225,3235791
1227,5622792
1228,3899417
1228,4008458
1230,3831083
1231,5717458
1233,10211542
1235,4863042
1236,4126417
1237,2039375
1238,4358750
1240,3418834
1241,3840584
1243,5254084
1244,7256875
1246,10419541
1247,2034250
1248,4997083
1249,4660833
1250,22164500
1252,4378292
1253,6295958
1255,106125
1256,4336041
1256,4359416
1258,2364791
1259,10073041
1260,2609417
1262,2186625
1263,4164291
1265,2582292
1266,3453500
1268,2454958
1269,10209292
1271,4704625
1273,3581542
1273,3653875
1275,2449084
1276,10668167
1278,4739625
1280,3018916
1281,10429792
1282,11257750
1282,11324125
1283,4993500
1283,5042042
1284,4589083
1285,2389917
1286,3568042
1287,5353334
1289,8557875
1291,4630583
1292,4798708
1294,3484125
1295,777875
1297,2403375
1298,4549292
1300,2617584
1301,11102667
1303,4407125
1305,3242667
1307,2759208
1308,9896416
1309,2288958
1310,4845084
1311,17811750
1312,2606500
1313,2096584
1314,23906250
1315,4367000
1316,2417916
1317,3346000
1319,2612750
1320,9012458
1321,3249625
1322,3678125
1323,5188375
1325,5210125
1326,5572625
1328,10057000
1330,3685375
1330,3723125
1331,3277417
1332,3041917
1333,6036334
1334,2592500
1335,9641250
1337,5194416
1338,4650834
1340,2338708
1341,4242041
1342,14289875
1343,11199916
1344,1381459
1345,9295792
1346,1544250
1347,4340542
1348,4203209
1350,2919417
1351,3430292
1353,5133916
1354,7175209
1355,2425375
1356,10936375
1357,2331667
1359,4030209
1361,3989292
1362,5544542
1364,10274958
1366,4666875
1367,4804125
1369,5286959
1370,34125
1372,2946875
1373,2172125
1375,2386500
1376,3488541
1378,4837084
1378,4862334
1380,8579292
1382,5809375
1382,5875000
1384,3877792
1385,2541834
1387,33323458
1387,33362000
1389,5066833
1391,3707500
1392,2008084
1393,4336417
1395,125250
1396,4684500
1396,4716666
1397,5667083
1399,65349167
1401,12308542
1402,6155167
1404,2097292
1405,4225083
1406,5112917
1407,4659958
1408,3757000
1409,6968834
1410,2693000
1411,2488292
1412,10304083
1413,2735500
1414,3835292
1415,11923792
1417,5745667
1418,77084
1419,6650125
1420,10057500
1421,4939500
1422,4007292
1424,4064750
1425,2498875
1426,3847208
1427,5708125
1427,5790750
1428,5080709
1429,4231417
1430,4833750
1431,45744125
1433,23185417
1433,23337959
1434,4104000
1435,4439458
1436,5591791
1438,3218625
1439,4684833
1440,7161291
1441,5293375
1442,8311500
1443,4321291
1445,5379458
1446,5257083
1447,4188666
1449,4363041
1450,7708834
1451,5338416
1451,5475500
1452,4474167
1453,4666042
1454,12744459
1454,12745667
1456,6789167
1457,2192083
1458,4161459
1459,5042209
1461,14657042
1462,1275125
1463,7490958
1464,4695500
1466,3438500
1467,4932333
1469,2292375
1470,3175750
1471,6100875
1471,6101458
1474,4327792
1476,5158667
1478,10945083
1479,2397167
1480,5082875
1481,5806708
1482,2125375
1483,3288583
1484,4646375
1485,4487125
1486,2222667
1488,5236625
1490,3815416
1491,5092083
1491,5101625
1492,30191291
1493,1420500
1494,12375417
1495,2773208
1495,2774208
1496,5190917
1497,5091583
1498,4822292
1500,3978833
