udp_arrival_to_queue_ns,queue_duration_ns,worker_processing_ns
84,2500,32459
42,625,31708
83,292,28416
292,1333,27375
125,834,28959
42,2416,28667
42,4792,31542
41,459,31375
583,1500,28833
42,3291,31042
42,1625,45000
83,958,49792
750,3292,27791
41,750,32167
375,1084,43334
208,4250,66958
500,1125,37375
125,1125,26334
42,750,27958
41,875,27250
167,792,27833
42,458,28667
41,2125,30000
84,1000,29625
167,1208,42709
42,8000,29292
42,1292,26708
500,47833,18334
83,3292,82292
542,58166,59917
84,1916,35875
333,2125,99833
125,5333,90500
42,6750,29041
84,1291,43292
84,12791,43292
125,47916,37834
250,21125,38583
334,33583,61167
84,60708,29583
125,40042,30375
167,22458,127459
333,3958,32584
84,8375,27041
42,6750,30000
42,583,30292
83,542,42709
83,1208,41583
83,334,29791
41,167,93166
375,11958,42958
125,14417,41875
42,14250,31833
417,958,30416
83,833,54208
417,1083,39166
208,7167,38625
834,24666,37959
83,21750,113709
83,14917,30667
291,3917,60459
125,25125,28542
41,2584,39166
500,1167,34875
166,792,49083
83,3458,28583
42,583,48333
417,6208,30334
167,1416,26792
42,2792,32958
83,4042,30584
41,10334,28000
125,1833,32500
83,958,39458
84,2541,33542
208,667,37792
41,2917,44833
83,26917,46791
417,833,135541
84,35791,51667
250,958,110500
291,1250,29292
83,3125,28959
84,833,27792
42,1583,29209
83,2250,28000
42,958,26750
0,875,41375
84,1708,29542
42,2167,28250
42,2583,33750
167,916,42334
84,1000,37333
84,2791,79042
292,1083,29917
291,709,30416
42,1541,27959
41,1542,29750
84,2500,32500
125,2125,28250
41,667,128750
42,1458,39959
125,1958,34500
41,1625,81625
125,1250,31750
83,1042,39042
83,2125,70166
125,4084,27209
333,5375,29250
83,1250,33917
41,2834,39750
125,1042,29000
167,917,28291
83,1250,30667
291,7750,29917
125,833,31584
125,1208,28542
584,1000,28375
42,1500,30875
84,2875,29416
208,1417,29750
83,750,28292
83,417,30334
42,2125,30958
42,583,55208
41,26084,31666
83,12708,43625
125,500,27959
84,208,28333
83,583,26750
42,375,27875
83,542,27583
41,250,30000
84,541,27542
41,3125,27542
167,666,28500
83,459,28584
84,250,28542
84,2625,31041
42,583,66417
84,458,63917
83,584,29208
83,417,27208
83,875,34000
42,2625,81333
167,1250,56083
541,2167,30208
83,1292,31541
83,708,30084
84,666,28750
42,416,29250
84,875,28334
42,292,27250
83,417,28167
83,500,27708
83,459,28833
83,250,99125
41,667,75000
125,23125,21834
125,750,40416
83,1500,32792
41,875,29875
167,2500,27750
83,4667,31250
83,8959,46584
291,6500,28292
208,10250,31208
125,5500,28458
292,792,36000
125,13667,29541
709,1083,30667
209,416,28458
291,1417,30958
292,750,26459
83,792,28416
83,417,31458
83,875,70042
42,1916,43500
167,2125,29625
84,791,35917
167,1458,110500
125,3000,28250
708,1750,53916
500,2000,32333
83,750,58875
542,1000,29417
125,959,25834
83,667,30375
42,1916,41333
42,2708,28292
42,542,25750
41,1834,30208
42,791,27625
41,542,106666
42,667,30542
41,625,26875
41,292,107167
958,1917,64459
166,709,43042
83,750,25583
209,1041,27042
84,291,25875
83,542,27792
42,500,25750
83,459,26209
84,333,25875
41,250,25583
83,250,25750
42,250,25958
83,209,25750
41,917,25458
292,750,28541
42,1458,38625
84,4958,28750
84,14541,31959
584,3083,50583
125,3125,34125
83,3042,44958
250,4792,31583
125,834,72375
209,3750,91083
208,39667,84125
83,43125,31125
416,1167,44541
42,37708,125667
42,1250,28292
41,667,31292
83,292,27834
42,541,26958
41,292,26791
42,250,26916
83,667,28916
41,292,29375
84,458,27583
41,292,28166
42,291,26417
42,2292,27667
42,333,61625
84,500,27666
84,500,28083
83,833,27125
83,542,27916
84,375,30375
84,583,27750
84,291,29750
125,292,26916
84,250,27834
42,250,29459
84,541,28584
83,542,28750
84,208,41958
416,1959,31000
42,1625,26500
42,13500,27916
83,3125,27542
41,1250,66250
41,1917,44833
83,500,31125
83,375,30542
42,1500,27917
84,750,28250
709,2291,29167
542,2458,33292
125,5375,33750
542,1417,30750
83,584,29834
