challenge_id,target_parsed_to_tcp_sent_ns
1317,2783958
1317,2834583
1316,839834
1317,299000
1319,2918542
1318,104125
1318,113167
1319,3231875
1321,2737000
1321,2749834
1320,1337666
1322,545458
1321,1412125
1322,2562250
1323,4364541
1324,2613958
1324,445292
1326,1955417
1325,1629167
1326,542083
1328,1515209
1329,967791
1328,786792
1328,835125
1330,3504250
1331,1540375
1331,1541458
1332,3825500
1330,108375
1331,1801250
1332,2170292
1334,4573000
1336,3980750
1336,4006916
1335,95833
1336,1995625
1338,2784125
1338,4521709
1340,2898750
1340,2934292
1339,1481083
1339,1531250
1340,1383708
1342,4406000
1341,105375
1342,5830875
1343,2697750
1344,348792
1344,375667
1346,679333
1345,452167
1345,452750
1346,1333875
1349,1232792
1348,2864209
1350,1817916
1350,1872708
1351,1941042
1350,1627166
1353,2511292
1352,2869250
1353,353167
1355,907500
1356,1839833
1358,2056209
1359,779750
1358,2516500
1359,4902083
1361,4252791
1362,868583
1360,1114917
1363,2077958
1362,3243833
1363,4322292
1364,2627208
1366,151292
1365,1586792
1367,4001500
1367,4292500
1368,2779083
1369,1859708
1370,493250
1369,3142875
1369,3155792
1370,56041
1371,2464542
1371,2479667
1372,20291
1373,872083
1374,2670875
1374,2683959
1373,809208
1375,2574625
1374,201583
1378,3050667
1376,30542
1377,2934334
1378,1059791
1378,1085250
1380,3718417
1381,2336083
1379,164291
1380,82541
1382,2468917
1382,4600292
1384,3066375
1384,3092791
1385,2365042
1386,2492000
1386,2519292
1385,1635375
1387,2432500
1388,3454084
1389,2543291
1390,3119750
1389,59917
1390,2686375
1391,2404791
1392,2812375
1393,1624459
1392,2739500
1395,2853208
1394,523042
1396,341208
1397,314958
1399,2475084
1399,198208
1401,3605750
1402,364125
1400,3537666
1400,3570250
1400,3572333
1403,1854958
1402,754917
1403,3898084
1404,1347084
1406,4105084
1407,3478625
1407,3512500
1407,3532750
1408,4374042
1408,4982084
1407,2072041
1408,3530416
1409,27458
1410,2716167
1410,2825750
1411,4671334
1411,6674208
1412,1594917
1413,2575708
1414,3145291
1413,948250
1414,3594625
1415,38584
1416,2281000
1417,863542
1418,48209
1416,2128000
1417,1308791
1418,1746417
1421,845792
1419,20708
1420,71834
1421,2891583
1423,2431000
1424,2477917
1423,1862625
1425,2637959
1426,792792
1425,4117500
1426,1151167
1427,2411791
1428,2284875
1428,2323459
1427,1264875
1428,3082375
1429,107625
1430,2908167
1432,4440917
1431,107958
1432,1083625
1433,149875
1434,2702791
1436,1020125
1435,432500
1437,1316250
1436,2682792
1438,954250
1437,1332583
1440,135625
1438,2158000
1438,2171334
1439,668291
1440,586000
1442,2657542
1443,986834
1442,1177459
1444,4123791
1444,4130541
1443,29167
1445,2442625
1445,451791
1447,625875
1448,3521166
1449,867125
1448,2040750
1451,3493667
1451,3501792
1450,30375
1451,2772209
1452,2673084
1452,1397750
1452,1407250
1455,38166
1454,187417
1455,26875
1456,403500
1458,1848917
1457,1374791
1459,207958
1458,2253875
1459,909250
1462,2384375
1461,499417
1463,2586125
1464,2925542
1465,369792
1465,379333
1464,4231667
1466,15333
1465,2353250
1465,2372583
1467,29334
1468,3276500
1467,24292
1469,2113042
1468,1859375
1470,460250
1471,75417
1470,934042
1472,41750
1471,134959
1472,3641459
1473,4476583
1474,36084
1475,4058667
1475,4088709
1475,3614625
1478,3223875
1477,101500
1479,2413459
1478,1312417
1480,895000
1480,904208
1479,1323875
1481,2505000
1481,4546209
1482,30584
1483,2669084
1484,746084
1483,1622208
1485,2710542
1485,4874542
1486,2732750
1487,3458750
1487,583708
1489,658333
1489,1602708
1490,2649542
1491,3928916
1490,194500
1491,2100417
1492,1216833
1493,1674250
1494,265083
1496,2940042
1495,1529000
1497,2405166
1498,4350750
1497,67500
1500,4821500
1501,4038583
1502,2589875
1504,3318958
1504,3339916
1506,3711750
1508,2625708
1509,3711084
1511,2426542
1513,3394875
1513,3406292
1514,2707541
1516,3344083
1518,3550250
1520,9201750
1521,2673417
1523,2464583
1524,8971542
1499,160833
1500,243875
1502,228500
1503,402667
1504,548333
1505,109084
1506,303250
1507,64792
1528,1462000
1509,223041
1510,1229750
1511,92959
1513,227291
1514,225500
1515,1529000
1518,1021083
1519,319834
1520,1575292
1522,31834
1522,46125
1532,2563625
1533,4312708
1524,143083
1525,139875
1526,93459
1527,1470250
1527,1482417
1529,73041
1529,73833
1530,93625
1531,60625
1533,1792083
1537,2034125
1534,91209
1534,97084
1534,117750
1538,2533958
1537,3002333
1538,680375
1539,4853958
1541,1680084
1541,1710334
1542,24125
1541,1124292
1542,50500
1543,4268833
1544,2556875
1544,1005375
1546,821083
1546,1976500
1545,3315125
1548,4179042
1548,260583
1549,4760417
1550,608542
1549,1459208
1551,371333
1551,384750
1550,5424500
1550,5437459
1552,2936875
1552,2634083
1553,672083
1555,2482416
1555,2497916
1554,1260959
1556,2866000
1557,1200958
1558,4240667
1557,2484416
1559,2577042
1560,3785084
1562,165708
1559,378500
1561,200417
1565,1570625
1565,3444250
1566,2730416
1568,2599875
1566,335917
1570,20792
1569,49542
1570,26959
1571,2768417
1573,2413584
1574,3964417
1573,358500
1574,584666
1575,913333
1575,941000
1577,2637750
1578,2487959
1577,1219042
1579,1121417
1580,704458
1579,1270500
1581,1132084
1580,619000
1581,45125
1582,3388333
1585,619959
1583,1945500
1586,4000458
1587,1076500
1588,208958
1586,2021625
1589,21583
1587,327167
1588,568666
1589,17500
1590,2546167
1591,3975583
1590,161125
1593,3314250
1592,509959
1594,2653750
1595,718583
1594,1612250
1596,2599041
1595,1094584
1597,1431334
1597,1439084
1596,1867958
